"cd_mun","cases","year_month"
"150330",0,"2019-09"
"150380",0,"2019-09"
"150400",0,"2019-09"
"150442",0,"2019-09"
"150460",3.21,"2019-09"
"150470",0,"2019-09"
"150506",0,"2019-09"
"150520",0,"2019-09"
"150635",0,"2019-09"
"150795",0,"2019-09"
"150810",0,"2019-09"
"150010",0.63,"2019-08"
"150080",0,"2019-08"
"150110",0,"2019-08"
"150120",0,"2019-08"
"150130",0,"2019-08"
"150140",0.94,"2019-08"
"150150",0,"2019-08"
"150178",0,"2019-08"
"150210",0,"2019-08"
"150309",0,"2019-08"
"150330",0,"2019-08"
"150380",0,"2019-08"
"150400",0,"2019-08"
"150442",0.76,"2019-08"
"150460",9.64,"2019-08"
"150470",0,"2019-08"
"150506",0,"2019-08"
"150520",0,"2019-08"
"150635",9.49,"2019-08"
"150795",1.88,"2019-08"
"150810",0.88,"2019-08"
"150010",0,"2019-07"
"150080",0,"2019-07"
"150110",0,"2019-07"
"150120",0,"2019-07"
"150130",0,"2019-07"
"150140",0.87,"2019-07"
"150150",0,"2019-07"
"150178",0,"2019-07"
"150210",0,"2019-07"
"150309",0,"2019-07"
"150330",0,"2019-07"
"150380",1.69,"2019-07"
"150400",0,"2019-07"
"150442",0,"2019-07"
"150460",0,"2019-07"
"150470",0,"2019-07"
"150506",0,"2019-07"
"150520",0,"2019-07"
"150635",0,"2019-07"
"150795",0,"2019-07"
"150810",0.88,"2019-07"
"150010",0.63,"2019-06"
"150080",0.19,"2019-06"
"150110",0,"2019-06"
"150120",0,"2019-06"
"150130",0,"2019-06"
"150140",0.33,"2019-06"
"150150",0,"2019-06"
"150178",0,"2019-06"
"150210",0.73,"2019-06"
"150309",0,"2019-06"
"150330",0,"2019-06"
"150380",11.83,"2019-06"
"150400",0,"2019-06"
"150442",3.04,"2019-06"
"150460",0,"2019-06"
"150470",0,"2019-06"
"150506",5.27,"2019-06"
"150520",0,"2019-06"
"150635",9.49,"2019-06"
"150795",1.88,"2019-06"
"150810",0.88,"2019-06"
"150010",0,"2019-05"
"150080",0,"2019-05"
"150110",0,"2019-05"
"150120",0,"2019-05"
"150130",0,"2019-05"
"150140",0.74,"2019-05"
"150150",0,"2019-05"
"150178",1.51,"2019-05"
"150210",0.73,"2019-05"
"150309",0,"2019-05"
"150330",0,"2019-05"
"150380",0,"2019-05"
"150400",0,"2019-05"
"150442",0.76,"2019-05"
"150460",0,"2019-05"
